group,bootstrap,method,top1,pred_set
global,0,ste_posterior_edge_uc,agent_a,agent_a
global,0,ste_plugin_uc,agent_a,agent_a
global,0,btl,agent_a,agent_a
global,0,winrate,agent_a,agent_a
global,0,rank_centrality,agent_a,agent_a
global,0,hodge,agent_a,agent_a
global,0,copeland,agent_a,agent_a
global,0,schulze,agent_a,agent_a
global,0,minimax,agent_a,agent_a
global,0,ranked_pairs,agent_a,agent_a
global,0,kemeny_local,agent_a,agent_a
global,1,ste_posterior_edge_uc,agent_b,agent_b
global,1,ste_plugin_uc,agent_b,agent_b
global,1,btl,agent_b,agent_b
global,1,winrate,agent_b,agent_b
global,1,rank_centrality,agent_b,agent_b
global,1,hodge,agent_b,agent_b
global,1,copeland,agent_b,agent_b
global,1,schulze,agent_b,agent_b
global,1,minimax,agent_b,agent_b
global,1,ranked_pairs,agent_b,agent_b
global,1,kemeny_local,agent_b,agent_b
category=dbbench-std,0,ste_posterior_edge_uc,agent_a,agent_a
category=dbbench-std,0,ste_plugin_uc,agent_a,agent_a
category=dbbench-std,0,btl,agent_a,agent_a
category=dbbench-std,0,winrate,agent_a,agent_a
category=dbbench-std,0,rank_centrality,agent_a,agent_a
category=dbbench-std,0,hodge,agent_a,agent_a
category=dbbench-std,0,copeland,agent_a,agent_a
category=dbbench-std,0,schulze,agent_a,agent_a
category=dbbench-std,0,minimax,agent_a,agent_a
category=dbbench-std,0,ranked_pairs,agent_a,agent_a
category=dbbench-std,0,kemeny_local,agent_a,agent_a
category=dbbench-std,1,ste_posterior_edge_uc,agent_a,agent_a
category=dbbench-std,1,ste_plugin_uc,agent_a,agent_a
category=dbbench-std,1,btl,agent_a,agent_a
category=dbbench-std,1,winrate,agent_a,agent_a
category=dbbench-std,1,rank_centrality,agent_a,agent_a
category=dbbench-std,1,hodge,agent_a,agent_a
category=dbbench-std,1,copeland,agent_a,agent_a
category=dbbench-std,1,schulze,agent_a,agent_a
category=dbbench-std,1,minimax,agent_a,agent_a
category=dbbench-std,1,ranked_pairs,agent_a,agent_a
category=dbbench-std,1,kemeny_local,agent_a,agent_a
category=os-std,0,ste_posterior_edge_uc,agent_c,agent_c
category=os-std,0,ste_plugin_uc,agent_c,agent_c
category=os-std,0,btl,agent_c,agent_c
category=os-std,0,winrate,agent_c,agent_c
category=os-std,0,rank_centrality,agent_c,agent_c
category=os-std,0,hodge,agent_c,agent_c
category=os-std,0,copeland,agent_c,agent_c
category=os-std,0,schulze,agent_c,agent_c
category=os-std,0,minimax,agent_c,agent_c
category=os-std,0,ranked_pairs,agent_c,agent_c
category=os-std,0,kemeny_local,agent_c,agent_c
category=os-std,1,ste_posterior_edge_uc,agent_a,agent_a
category=os-std,1,ste_plugin_uc,agent_a,agent_a
category=os-std,1,btl,agent_a,agent_a
category=os-std,1,winrate,agent_a,agent_a
category=os-std,1,rank_centrality,agent_a,agent_a
category=os-std,1,hodge,agent_a,agent_a
category=os-std,1,copeland,agent_a,agent_a
category=os-std,1,schulze,agent_a,agent_a
category=os-std,1,minimax,agent_a,agent_a
category=os-std,1,ranked_pairs,agent_a,agent_a
category=os-std,1,kemeny_local,agent_a,agent_a
