group,agent,method,score,rank,n_agents,n_comparisons
global,agent_a,ste_posterior_edge_uc,0.74,1,3,8
global,agent_b,ste_posterior_edge_uc,0.33,2,3,8
global,agent_c,ste_posterior_edge_uc,0.13,3,3,8
global,agent_a,ste_plugin_uc,0.9952971071770849,1,3,8
global,agent_b,ste_plugin_uc,0.7304416232352045,2,3,8
global,agent_c,ste_plugin_uc,0.6425576998584633,3,3,8
global,agent_a,btl,1.0446455220226623,1,3,8
global,agent_b,btl,1.0841409423827775e-17,2,3,8
global,agent_c,btl,-1.0446455220226623,3,3,8
global,agent_a,winrate,0.7291666666666667,1,3,8
global,agent_b,winrate,0.5,2,3,8
global,agent_c,winrate,0.2708333333333333,3,3,8
global,agent_a,rank_centrality,0.6842105263149393,1,3,8
global,agent_b,rank_centrality,0.2631578947373678,2,3,8
global,agent_c,rank_centrality,0.05263157894769329,3,3,8
global,agent_a,hodge,0.6787646708808817,1,3,8
global,agent_b,hodge,0.0,2,3,8
global,agent_c,hodge,-0.6787646708808817,3,3,8
global,agent_a,copeland,2.0,1,3,8
global,agent_b,copeland,0.0,2,3,8
global,agent_c,copeland,-2.0,3,3,8
global,agent_a,schulze,2.0,1,3,8
global,agent_b,schulze,1.0,2,3,8
global,agent_c,schulze,0.0,3,3,8
global,agent_a,minimax,0.0006666666666666666,1,3,8
global,agent_b,minimax,-0.3333333333333333,2,3,8
global,agent_c,minimax,-1.0006666666666666,3,3,8
global,agent_a,ranked_pairs,2.0,1,3,8
global,agent_b,ranked_pairs,0.0,2,3,8
global,agent_c,ranked_pairs,-2.0,3,3,8
global,agent_a,kemeny_local,3.0,1,3,8
global,agent_b,kemeny_local,2.0,2,3,8
global,agent_c,kemeny_local,1.0,3,3,8
category=dbbench-std,agent_a,ste_posterior_edge_uc,0.81,1,3,4
category=dbbench-std,agent_b,ste_posterior_edge_uc,0.25,2,3,4
category=dbbench-std,agent_c,ste_posterior_edge_uc,0.09,3,3,4
category=dbbench-std,agent_a,ste_plugin_uc,0.9999410997906178,1,3,4
category=dbbench-std,agent_b,ste_plugin_uc,0.855466223691793,2,3,4
category=dbbench-std,agent_c,ste_plugin_uc,0.7181714585628842,3,3,4
category=dbbench-std,agent_a,btl,5.253972087146973,1,3,4
category=dbbench-std,agent_b,btl,-1.683601076584766e-18,2,3,4
category=dbbench-std,agent_c,btl,-5.253972087146973,3,3,4
category=dbbench-std,agent_a,winrate,0.7916666666666667,1,3,4
category=dbbench-std,agent_b,winrate,0.5,2,3,4
category=dbbench-std,agent_c,winrate,0.20833333333333331,3,3,4
category=dbbench-std,agent_a,rank_centrality,0.9999999999993936,1,3,4
category=dbbench-std,agent_b,rank_centrality,6.063298011819521e-13,2,3,4
category=dbbench-std,agent_c,rank_centrality,0.0,3,3,4
category=dbbench-std,agent_a,hodge,0.8634976227072625,1,3,4
category=dbbench-std,agent_b,hodge,0.0,2,3,4
category=dbbench-std,agent_c,hodge,-0.8634976227072625,3,3,4
category=dbbench-std,agent_a,copeland,2.0,1,3,4
category=dbbench-std,agent_b,copeland,0.0,2,3,4
category=dbbench-std,agent_c,copeland,-2.0,3,3,4
category=dbbench-std,agent_a,schulze,2.0,1,3,4
category=dbbench-std,agent_b,schulze,1.0,2,3,4
category=dbbench-std,agent_c,schulze,0.0,3,3,4
category=dbbench-std,agent_a,minimax,0.001,1,3,4
category=dbbench-std,agent_b,minimax,-1.0,2,3,4
category=dbbench-std,agent_c,minimax,-1.001,3,3,4
category=dbbench-std,agent_a,ranked_pairs,2.0,1,3,4
category=dbbench-std,agent_b,ranked_pairs,0.0,2,3,4
category=dbbench-std,agent_c,ranked_pairs,-2.0,3,3,4
category=dbbench-std,agent_a,kemeny_local,3.0,1,3,4
category=dbbench-std,agent_b,kemeny_local,2.0,2,3,4
category=dbbench-std,agent_c,kemeny_local,1.0,3,3,4
category=os-std,agent_a,ste_posterior_edge_uc,0.43,3,3,4
category=os-std,agent_b,ste_posterior_edge_uc,0.54,2,3,4
category=os-std,agent_c,ste_posterior_edge_uc,0.57,1,3,4
category=os-std,agent_a,ste_plugin_uc,0.8595142404879749,2,3,4
category=os-std,agent_b,ste_plugin_uc,0.8775510204081632,1,3,4
category=os-std,agent_c,ste_plugin_uc,0.8595142404879749,3,3,4
category=os-std,agent_a,btl,0.0,1,3,4
category=os-std,agent_b,btl,0.0,2,3,4
category=os-std,agent_c,btl,0.0,3,3,4
category=os-std,agent_a,winrate,0.5,1,3,4
category=os-std,agent_b,winrate,0.5,2,3,4
category=os-std,agent_c,winrate,0.5,3,3,4
category=os-std,agent_a,rank_centrality,0.3333333333333333,1,3,4
category=os-std,agent_b,rank_centrality,0.3333333333333333,2,3,4
category=os-std,agent_c,rank_centrality,0.3333333333333333,3,3,4
category=os-std,agent_a,hodge,0.0,1,3,4
category=os-std,agent_b,hodge,0.0,2,3,4
category=os-std,agent_c,hodge,0.0,3,3,4
category=os-std,agent_a,copeland,0.0,1,3,4
category=os-std,agent_b,copeland,0.0,2,3,4
category=os-std,agent_c,copeland,0.0,3,3,4
category=os-std,agent_a,schulze,0.0,1,3,4
category=os-std,agent_b,schulze,0.0,2,3,4
category=os-std,agent_c,schulze,0.0,3,3,4
category=os-std,agent_a,minimax,0.0,1,3,4
category=os-std,agent_b,minimax,0.0,2,3,4
category=os-std,agent_c,minimax,0.0,3,3,4
category=os-std,agent_a,ranked_pairs,0.0,1,3,4
category=os-std,agent_b,ranked_pairs,0.0,2,3,4
category=os-std,agent_c,ranked_pairs,0.0,3,3,4
category=os-std,agent_a,kemeny_local,3.0,1,3,4
category=os-std,agent_b,kemeny_local,2.0,2,3,4
category=os-std,agent_c,kemeny_local,1.0,3,3,4
