group,method,k_selected,n_agents,n_cross_pairs_observed,cross_pair_coverage,external_attack_rate,selected_dominance_rate,dominance_gap,selected_agents
global,ste_posterior_edge_uc,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,ste_plugin_uc,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,btl,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,winrate,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,rank_centrality,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,hodge,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,copeland,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,schulze,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,minimax,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,ranked_pairs,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
global,kemeny_local,1,3,2,1.0,0.2,0.8,0.6000000000000001,agent_a
category=dbbench-std,ste_posterior_edge_uc,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,ste_plugin_uc,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,btl,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,winrate,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,rank_centrality,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,hodge,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,copeland,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,schulze,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,minimax,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,ranked_pairs,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=dbbench-std,kemeny_local,1,3,2,1.0,0.0,1.0,1.0,agent_a
category=os-std,ste_posterior_edge_uc,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,ste_plugin_uc,1,3,2,1.0,0.5,0.5,0.0,agent_b
category=os-std,btl,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,winrate,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,rank_centrality,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,hodge,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,copeland,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,schulze,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,minimax,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,ranked_pairs,1,3,1,0.5,0.5,0.5,0.0,agent_c
category=os-std,kemeny_local,1,3,1,0.5,0.5,0.5,0.0,agent_a
