group,bootstrap,method,top1,pred_set
global,0,ste_posterior_edge_uc,model_beta,model_beta
global,0,ste_plugin_uc,model_beta,model_beta
global,0,btl,model_beta,model_beta
global,0,winrate,model_beta,model_beta
global,0,rank_centrality,model_beta,model_beta
global,0,hodge,model_beta,model_beta
global,0,copeland,model_beta,model_beta
global,0,schulze,model_beta,model_beta
global,0,minimax,model_beta,model_beta
global,0,ranked_pairs,model_beta,model_beta
global,0,kemeny_local,model_beta,model_beta
global,1,ste_posterior_edge_uc,model_gamma,model_gamma
global,1,ste_plugin_uc,model_gamma,model_gamma
global,1,btl,model_gamma,model_gamma
global,1,winrate,model_gamma,model_gamma
global,1,rank_centrality,model_gamma,model_gamma
global,1,hodge,model_gamma,model_gamma
global,1,copeland,model_gamma,model_gamma
global,1,schulze,model_gamma,model_gamma
global,1,minimax,model_gamma,model_gamma
global,1,ranked_pairs,model_gamma,model_gamma
global,1,kemeny_local,model_gamma,model_gamma
category=coding,0,ste_posterior_edge_uc,model_gamma,model_gamma
category=coding,0,ste_plugin_uc,model_alpha,model_alpha
category=coding,0,btl,model_alpha,model_alpha
category=coding,0,winrate,model_alpha,model_alpha
category=coding,0,rank_centrality,model_gamma,model_alpha
category=coding,0,hodge,model_alpha,model_alpha
category=coding,0,copeland,model_alpha,model_alpha
category=coding,0,schulze,model_alpha,model_alpha
category=coding,0,minimax,model_alpha,model_alpha
category=coding,0,ranked_pairs,model_beta,model_beta
category=coding,0,kemeny_local,model_alpha,model_alpha
category=coding,1,ste_posterior_edge_uc,model_beta,model_beta
category=coding,1,ste_plugin_uc,model_alpha,model_beta
category=coding,1,btl,model_alpha,model_beta
category=coding,1,winrate,model_alpha,model_beta
category=coding,1,rank_centrality,model_gamma,model_beta
category=coding,1,hodge,model_alpha,model_beta
category=coding,1,copeland,model_alpha,model_beta
category=coding,1,schulze,model_alpha,model_beta
category=coding,1,minimax,model_alpha,model_beta
category=coding,1,ranked_pairs,model_beta,model_beta
category=coding,1,kemeny_local,model_alpha,model_alpha
category=writing,0,ste_posterior_edge_uc,model_beta,model_beta
category=writing,0,ste_plugin_uc,model_alpha,model_gamma
category=writing,0,btl,model_alpha,model_gamma
category=writing,0,winrate,model_alpha,model_gamma
category=writing,0,rank_centrality,model_alpha,model_gamma
category=writing,0,hodge,model_alpha,model_gamma
category=writing,0,copeland,model_alpha,model_gamma
category=writing,0,schulze,model_alpha,model_gamma
category=writing,0,minimax,model_alpha,model_gamma
category=writing,0,ranked_pairs,model_gamma,model_gamma
category=writing,0,kemeny_local,model_beta,model_beta
category=writing,1,ste_posterior_edge_uc,model_beta,model_beta
category=writing,1,ste_plugin_uc,model_alpha,model_beta
category=writing,1,btl,model_alpha,model_beta
category=writing,1,winrate,model_alpha,model_beta
category=writing,1,rank_centrality,model_alpha,model_beta
category=writing,1,hodge,model_alpha,model_beta
category=writing,1,copeland,model_alpha,model_beta
category=writing,1,schulze,model_alpha,model_beta
category=writing,1,minimax,model_alpha,model_beta
category=writing,1,ranked_pairs,model_gamma,model_gamma
category=writing,1,kemeny_local,model_beta,model_beta
