group,agent,method,score,rank,n_agents,n_comparisons
global,model_alpha,ste_posterior_edge_uc,0.51,3,4,9
global,model_beta,ste_posterior_edge_uc,0.535,2,4,9
global,model_delta,ste_posterior_edge_uc,0.205,4,4,9
global,model_gamma,ste_posterior_edge_uc,0.59,1,4,9
global,model_alpha,ste_plugin_uc,0.8778462510007446,1,4,9
global,model_beta,ste_plugin_uc,0.8778462510007446,2,4,9
global,model_delta,ste_plugin_uc,0.8334837691344211,4,4,9
global,model_gamma,ste_plugin_uc,0.8778462510007446,3,4,9
global,model_alpha,btl,1.6078157660007228,1,4,9
global,model_beta,btl,1.6078157660007228,2,4,9
global,model_delta,btl,-4.823447297237658,4,4,9
global,model_gamma,btl,1.6078157652362126,3,4,9
global,model_alpha,winrate,0.5833333333333334,1,4,9
global,model_beta,winrate,0.5833333333333334,2,4,9
global,model_delta,winrate,0.25,4,4,9
global,model_gamma,winrate,0.5833333333333334,3,4,9
global,model_alpha,rank_centrality,0.33333333333333337,1,4,9
global,model_beta,rank_centrality,0.33333333333333337,2,4,9
global,model_delta,rank_centrality,0.0,4,4,9
global,model_gamma,rank_centrality,0.33333333333333337,3,4,9
global,model_alpha,hodge,0.27465307216702745,1,4,9
global,model_beta,hodge,0.27465307216702745,2,4,9
global,model_delta,hodge,-0.8239592165010824,4,4,9
global,model_gamma,hodge,0.27465307216702745,3,4,9
global,model_alpha,copeland,1.0,1,4,9
global,model_beta,copeland,1.0,2,4,9
global,model_delta,copeland,-3.0,4,4,9
global,model_gamma,copeland,1.0,3,4,9
global,model_alpha,schulze,1.0,1,4,9
global,model_beta,schulze,1.0,2,4,9
global,model_delta,schulze,0.0,4,4,9
global,model_gamma,schulze,1.0,3,4,9
global,model_alpha,minimax,0.0003333333333333333,1,4,9
global,model_beta,minimax,0.0003333333333333333,2,4,9
global,model_delta,minimax,-1.001,4,4,9
global,model_gamma,minimax,0.0003333333333333333,3,4,9
global,model_alpha,ranked_pairs,1.0,1,4,9
global,model_beta,ranked_pairs,1.0,2,4,9
global,model_delta,ranked_pairs,-3.0,4,4,9
global,model_gamma,ranked_pairs,1.0,3,4,9
global,model_alpha,kemeny_local,4.0,1,4,9
global,model_beta,kemeny_local,3.0,2,4,9
global,model_delta,kemeny_local,1.0,4,4,9
global,model_gamma,kemeny_local,2.0,3,4,9
category=coding,model_alpha,ste_posterior_edge_uc,0.68,3,4,6
category=coding,model_beta,ste_posterior_edge_uc,0.71,2,4,6
category=coding,model_delta,ste_posterior_edge_uc,0.195,4,4,6
category=coding,model_gamma,ste_posterior_edge_uc,0.725,1,4,6
category=coding,model_alpha,ste_plugin_uc,0.8646901841898484,1,4,6
category=coding,model_beta,ste_plugin_uc,0.8646901841898484,2,4,6
category=coding,model_delta,ste_plugin_uc,0.833485074668963,4,4,6
category=coding,model_gamma,ste_plugin_uc,0.8646901841898484,3,4,6
category=coding,model_alpha,btl,1.6078213035079236,1,4,6
category=coding,model_beta,btl,1.6078213035077702,2,4,6
category=coding,model_delta,btl,-4.823463873347234,4,4,6
category=coding,model_gamma,btl,1.6078212663315405,3,4,6
category=coding,model_alpha,winrate,0.5833333333333334,1,4,6
category=coding,model_beta,winrate,0.5833333333333334,2,4,6
category=coding,model_delta,winrate,0.25,4,4,6
category=coding,model_gamma,winrate,0.5833333333333334,3,4,6
category=coding,model_alpha,rank_centrality,0.3333333333333333,2,4,6
category=coding,model_beta,rank_centrality,0.3333333333333333,3,4,6
category=coding,model_delta,rank_centrality,0.0,4,4,6
category=coding,model_gamma,rank_centrality,0.33333333333333337,1,4,6
category=coding,model_alpha,hodge,0.2746530721670274,1,4,6
category=coding,model_beta,hodge,0.2746530721670274,2,4,6
category=coding,model_delta,hodge,-0.8239592165010822,4,4,6
category=coding,model_gamma,hodge,0.2746530721670274,3,4,6
category=coding,model_alpha,copeland,1.0,1,4,6
category=coding,model_beta,copeland,1.0,2,4,6
category=coding,model_delta,copeland,-3.0,4,4,6
category=coding,model_gamma,copeland,1.0,3,4,6
category=coding,model_alpha,schulze,2.0,1,4,6
category=coding,model_beta,schulze,2.0,2,4,6
category=coding,model_delta,schulze,0.0,4,4,6
category=coding,model_gamma,schulze,2.0,3,4,6
category=coding,model_alpha,minimax,-0.9996666666666667,1,4,6
category=coding,model_beta,minimax,-0.9996666666666667,2,4,6
category=coding,model_delta,minimax,-1.001,4,4,6
category=coding,model_gamma,minimax,-0.9996666666666667,3,4,6
category=coding,model_alpha,ranked_pairs,0.0,3,4,6
category=coding,model_beta,ranked_pairs,2.0,1,4,6
category=coding,model_delta,ranked_pairs,-3.0,4,4,6
category=coding,model_gamma,ranked_pairs,1.0,2,4,6
category=coding,model_alpha,kemeny_local,4.0,1,4,6
category=coding,model_beta,kemeny_local,3.0,2,4,6
category=coding,model_delta,kemeny_local,1.0,4,4,6
category=coding,model_gamma,kemeny_local,2.0,3,4,6
category=writing,model_alpha,ste_posterior_edge_uc,0.685,2,3,3
category=writing,model_beta,ste_posterior_edge_uc,0.705,1,3,3
category=writing,model_gamma,ste_posterior_edge_uc,0.67,3,3,3
category=writing,model_alpha,ste_plugin_uc,0.8637840171797908,1,3,3
category=writing,model_beta,ste_plugin_uc,0.8637840171797908,2,3,3
category=writing,model_gamma,ste_plugin_uc,0.8637840171797908,3,3,3
category=writing,model_alpha,btl,0.0,1,3,3
category=writing,model_beta,btl,0.0,2,3,3
category=writing,model_gamma,btl,0.0,3,3,3
category=writing,model_alpha,winrate,0.5,1,3,3
category=writing,model_beta,winrate,0.5,2,3,3
category=writing,model_gamma,winrate,0.5,3,3,3
category=writing,model_alpha,rank_centrality,0.3333333333333333,1,3,3
category=writing,model_beta,rank_centrality,0.3333333333333333,2,3,3
category=writing,model_gamma,rank_centrality,0.3333333333333333,3,3,3
category=writing,model_alpha,hodge,0.0,1,3,3
category=writing,model_beta,hodge,0.0,2,3,3
category=writing,model_gamma,hodge,0.0,3,3,3
category=writing,model_alpha,copeland,0.0,1,3,3
category=writing,model_beta,copeland,0.0,2,3,3
category=writing,model_gamma,copeland,0.0,3,3,3
category=writing,model_alpha,schulze,1.0,1,3,3
category=writing,model_beta,schulze,1.0,2,3,3
category=writing,model_gamma,schulze,1.0,3,3,3
category=writing,model_alpha,minimax,-1.0,1,3,3
category=writing,model_beta,minimax,-1.0,2,3,3
category=writing,model_gamma,minimax,-1.0,3,3,3
category=writing,model_alpha,ranked_pairs,-1.0,3,3,3
category=writing,model_beta,ranked_pairs,0.0,2,3,3
category=writing,model_gamma,ranked_pairs,1.0,1,3,3
category=writing,model_alpha,kemeny_local,2.0,2,3,3
category=writing,model_beta,kemeny_local,3.0,1,3,3
category=writing,model_gamma,kemeny_local,1.0,3,3,3
