group,method,k_selected,n_agents,n_cross_pairs_observed,cross_pair_coverage,external_attack_rate,selected_dominance_rate,dominance_gap,selected_agents
global,ste_posterior_edge_uc,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_gamma
global,ste_plugin_uc,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,btl,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,winrate,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,rank_centrality,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,hodge,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,copeland,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,schulze,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,minimax,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,ranked_pairs,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
global,kemeny_local,1,4,3,1.0,0.4,0.6,0.19999999999999996,model_alpha
category=coding,ste_posterior_edge_uc,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_gamma
category=coding,ste_plugin_uc,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,btl,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,winrate,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,rank_centrality,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,hodge,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,copeland,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,schulze,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,minimax,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=coding,ranked_pairs,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_beta
category=coding,kemeny_local,1,4,3,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,model_alpha
category=writing,ste_posterior_edge_uc,1,3,2,1.0,0.5,0.5,0.0,model_beta
category=writing,ste_plugin_uc,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,btl,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,winrate,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,rank_centrality,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,hodge,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,copeland,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,schulze,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,minimax,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,ranked_pairs,1,3,2,1.0,0.5,0.5,0.0,model_gamma
category=writing,kemeny_local,1,3,2,1.0,0.5,0.5,0.0,model_beta
