m_per_pair,method,n_rows,topk_f1_mean,topk_f1_ci95,topk_f1_se,auprc_mean,auprc_ci95,auprc_se,auroc_mean,auroc_ci95,auroc_se,topk_fpr_mean,topk_fpr_ci95,topk_fpr_se,topk_fnr_mean,topk_fnr_ci95,topk_fnr_se
5,btl,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9513888888888888,0.09527777777777777,0.048611111111111105,0.9861111111111112,0.027222222222222234,0.013888888888888895,0.020833333333333325,0.04083333333333331,0.020833333333333322,0.08333333333333333,0.16333333333333336,0.08333333333333334
5,copeland,4,0.8333333333333334,0.1886010879352777,0.0962250448649376,0.9180555555555556,0.09589798141517979,0.04892754153835704,0.9791666666666667,0.023575135991909697,0.012028130608117193,0.04166666666666665,0.047150271983819415,0.024056261216234397,0.16666666666666666,0.18860108793527774,0.09622504486493763
5,hard_uc,4,0.5266666666666666,0.32961513809177406,0.16817098882233372,0.5154761904761904,0.32102630560265444,0.16378893142992573,0.8229166666666667,0.1264075840874068,0.06449366535071775,0.1183333333333333,0.0824037845229435,0.04204274720558342,0.4733333333333333,0.329615138091774,0.16817098882233367
5,hodge,4,0.75,0.1633333333333333,0.08333333333333331,0.9097222222222221,0.07818988046676759,0.039892796156514074,0.9722222222222222,0.022226851369699218,0.011340230290662867,0.06249999999999997,0.040833333333333326,0.02083333333333333,0.25,0.16333333333333336,0.08333333333333334
5,rank_centrality,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9791666666666666,0.040833333333333464,0.0208333333333334,0.9930555555555556,0.013611111111111117,0.0069444444444444475,0.020833333333333325,0.04083333333333331,0.020833333333333322,0.08333333333333333,0.16333333333333336,0.08333333333333334
5,ste_plugin_uc,4,0.6666666666666667,0.2667222164363905,0.13608276348795434,0.7926587301587301,0.19304916056554539,0.09849446967629867,0.8888888888888888,0.11113425684849598,0.05670115145331428,0.0833333333333333,0.0666805541090976,0.03402069087198857,0.3333333333333333,0.2667222164363905,0.13608276348795434
5,ste_posterior_edge_uc,4,0.8566666666666667,0.16643979225066474,0.08491826135237997,0.8611111111111112,0.15873146824856652,0.08098544298396251,0.9756944444444444,0.028060024396564638,0.014316338977839101,0.0358333333333333,0.041609948062666165,0.02122956533809498,0.1433333333333333,0.16643979225066474,0.08491826135237997
5,winrate,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9513888888888888,0.09527777777777777,0.048611111111111105,0.9861111111111112,0.027222222222222234,0.013888888888888895,0.020833333333333325,0.04083333333333331,0.020833333333333322,0.08333333333333333,0.16333333333333336,0.08333333333333334
15,btl,4,0.75,0.1633333333333333,0.08333333333333331,0.8680555555555555,0.15459250496900742,0.07887372702500378,0.9652777777777778,0.03425387845632101,0.01747646860016378,0.06249999999999997,0.040833333333333326,0.02083333333333333,0.25,0.16333333333333336,0.08333333333333334
15,copeland,4,0.7833333333333334,0.1543766437909185,0.07876359377087679,0.8555555555555555,0.17842500240011616,0.09103316448985518,0.96875,0.0357966184289313,0.0182635808310874,0.05416666666666663,0.038594160947729626,0.019690898442719196,0.21666666666666662,0.15437664379091853,0.0787635937708768
15,hard_uc,4,0.78,0.2599139230734041,0.1326091444252062,0.775,0.2577356526883052,0.13149778198382917,0.9479166666666667,0.061249999999999964,0.031249999999999983,0.05499999999999998,0.06497848076835099,0.033152286106301526,0.21999999999999997,0.25991392307340405,0.13260914442520616
15,hodge,4,0.5833333333333334,0.16333333333333339,0.08333333333333336,0.7125,0.09114364256626413,0.046501858452175575,0.9097222222222222,0.02606329348892251,0.013297598718838016,0.10416666666666663,0.04083333333333332,0.020833333333333325,0.4166666666666667,0.16333333333333339,0.08333333333333336
15,rank_centrality,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9097222222222222,0.17694444444444446,0.09027777777777779,0.9791666666666666,0.04083333333333335,0.020833333333333343,0.020833333333333325,0.04083333333333332,0.020833333333333325,0.08333333333333333,0.16333333333333333,0.08333333333333333
15,ste_plugin_uc,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ste_posterior_edge_uc,4,0.8333333333333334,0.32666666666666666,0.16666666666666666,0.8833333333333333,0.22866666666666666,0.11666666666666667,0.96875,0.06125,0.03125,0.04166666666666665,0.08166666666666664,0.04166666666666665,0.16666666666666669,0.3266666666666667,0.16666666666666669
15,winrate,4,0.75,0.1633333333333333,0.08333333333333331,0.8430555555555556,0.1745833929991942,0.08907315969346644,0.951388888888889,0.046490795141853704,0.023719793439721276,0.06249999999999997,0.040833333333333326,0.02083333333333333,0.25,0.16333333333333336,0.08333333333333334
