seed,n,core_size,m_per_pair,missing_rate,solution,threshold,reported_core_size,threshold_f1,threshold_jaccard,threshold_fpr,threshold_fnr
0,15,3,10,0.1,TC,0.35,15,0.33333333333333337,0.2,1.0,0.0
0,15,3,10,0.1,TC,0.5,15,0.33333333333333337,0.2,1.0,0.0
0,15,3,10,0.1,TC,0.65,15,0.33333333333333337,0.2,1.0,0.0
0,15,3,10,0.1,UC,0.35,8,0.5454545454545454,0.375,0.4166666666666667,0.0
0,15,3,10,0.1,UC,0.5,5,0.7499999999999999,0.6,0.16666666666666666,0.0
0,15,3,10,0.1,UC,0.65,5,0.7499999999999999,0.6,0.16666666666666666,0.0
1,15,3,10,0.1,TC,0.35,15,0.33333333333333337,0.2,1.0,0.0
1,15,3,10,0.1,TC,0.5,15,0.33333333333333337,0.2,1.0,0.0
1,15,3,10,0.1,TC,0.65,15,0.33333333333333337,0.2,1.0,0.0
1,15,3,10,0.1,UC,0.35,9,0.5,0.3333333333333333,0.5,0.0
1,15,3,10,0.1,UC,0.5,8,0.5454545454545454,0.375,0.4166666666666667,0.0
1,15,3,10,0.1,UC,0.65,6,0.6666666666666666,0.5,0.25,0.0
