tau,K,seed,tc_f1,uc_f1
0.2,3,42,0.0,0.1333333333331911
0.2,3,43,0.0,0.1333333333331911
0.2,3,44,0.0,0.14285714285698978
0.1,3,42,0.24999999999971875,0.1333333333331911
0.1,3,43,0.22222222222197527,0.1333333333331911
0.1,3,44,0.1666666666664861,0.11764705882340486
0.05,3,42,0.09999999999989499,0.11764705882340486
0.05,3,43,0.09999999999989499,0.11111111111099384
0.05,3,44,0.09999999999989499,0.11111111111099384
0.02,3,42,0.09999999999989499,0.09523809523799547
0.02,3,43,0.09999999999989499,0.09999999999989499
0.02,3,44,0.09999999999989499,0.10526315789462604
0.01,3,42,0.09999999999989499,0.09523809523799547
0.01,3,43,0.09999999999989499,0.09523809523799547
0.01,3,44,0.09999999999989499,0.09999999999989499
