n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.0,0.05,0.1,42,10,0.10526315789462604,0.05555555555555555,0.1333333333331911,0.07142857142857142,0.0,0.0,0.0,18.0,14.0,1.0,1.0,0.6105015713847363,0.7745655560496643,0.7205497632932267,0.5614035087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,43,10,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.0,0.0,0.0,20.0,17.0,1.0,1.0,0.6303182125415836,0.7268478253373093,0.7438597829955318,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,19.0,19.0,1.0,1.0,0.6233370878090492,0.7488598723212639,0.7367968066319033,0.4678362573099415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,45,10,0.09999999999989499,0.05263157894736842,0.09523809523799547,0.05,0.0,0.0,0.0,19.0,20.0,1.0,1.0,0.6156773607566198,0.7226990844232191,0.6946503928096767,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,46,10,0.09523809523799547,0.05,0.11764705882340486,0.0625,0.0,0.0,0.0,20.0,16.0,1.0,1.0,0.6312839261879609,0.6720252914471584,0.7169777550136591,0.5497076023391813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,47,10,0.09523809523799547,0.05,0.15384615384598815,0.08333333333333333,0.0,0.0,0.0,20.0,12.0,1.0,1.0,0.6106718280467057,0.7198719110898384,0.7708316190750112,0.4678362573099415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,48,10,0.09523809523799547,0.05,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,20.0,19.0,1.0,1.0,0.636935588485252,0.695904064540942,0.6960123958307683,0.49707602339181284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,49,10,0.09523809523799547,0.05,0.1333333333331911,0.07142857142857142,0.9999999999984999,0.9999999999984999,1.0,20.0,14.0,1.0,1.0,0.6136856086014592,0.6887983260669528,0.737096109589553,0.49707602339181284,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.0,0.05,0.1,50,10,0.09523809523799547,0.05,0.14285714285698978,0.07692307692307693,0.0,0.0,0.0,20.0,13.0,1.0,1.0,0.6121983374541299,0.766159812381397,0.7121185531619387,0.5614035087719298,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.0,0.05,0.1,51,10,0.09999999999989499,0.05263157894736842,0.12499999999986719,0.06666666666666667,0.9999999999984999,0.0,1.0,19.0,15.0,1.0,1.0,0.6152110967293349,0.695693496418119,0.7560443497042407,0.49122807017543857,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
