mu,seed,tc_inclusion_mean,uc_inclusion_mean,tc_stability_jaccard,uc_stability_jaccard,tc_modal_size,uc_modal_size,tc_modal_jaccard_true,uc_modal_jaccard_true
0.0,42,0.99875,0.8557499999999999,0.99875,0.85575,20.0,20.0,0.05,0.05
0.0,43,0.9992500000000002,0.93,0.9992500000000001,0.93,20.0,20.0,0.05,0.05
0.0,44,0.99975,0.9142499999999998,0.9997499999999999,0.9169868421052633,20.0,19.0,0.05,0.05263157894736842
0.0,45,0.9995,0.9112500000000001,0.9995,0.91125,20.0,20.0,0.8,0.8
0.0,46,0.99925,0.8897499999999999,0.9992500000000001,0.8994473684210527,20.0,19.0,1.0,0.95
0.1,42,0.9862500000000001,0.88175,0.98625,0.8817499999999999,20.0,20.0,0.05,0.05
0.1,43,0.993,0.90675,0.993,0.90675,20.0,20.0,0.05,0.05
0.1,44,0.99825,0.8995000000000001,0.9982499999999999,0.8994999999999999,20.0,20.0,0.05,0.05
0.1,45,0.9945,0.89875,0.9944999999999999,0.8987499999999998,20.0,20.0,0.8,0.8
0.1,46,0.99375,0.909,0.99375,0.9089999999999999,20.0,20.0,1.0,1.0
0.3,42,0.9242499999999998,0.8965,0.9334605263157895,0.9167631578947367,19.0,19.0,0.05263157894736842,0.05263157894736842
0.3,43,0.8662500000000002,0.89175,0.86625,0.8917499999999999,20.0,20.0,0.05,0.05
0.3,44,0.92325,0.9225,0.922171052631579,0.9245,19.0,19.0,0.05263157894736842,0.05263157894736842
0.3,45,0.8704999999999998,0.8985000000000001,0.8704999999999999,0.8985,20.0,20.0,0.8,0.8
0.3,46,0.7745,0.81175,0.7830526315789474,0.8320073099415205,19.0,18.0,0.95,0.9
0.5,42,0.39925,0.89,0.3773325930605342,0.8996315789473686,8.0,19.0,0.125,0.05263157894736842
0.5,43,0.36150000000000004,0.88125,0.254653182601712,0.8804078947368421,4.0,19.0,0.25,0.05263157894736842
0.5,44,0.41574999999999995,0.8965,0.3176243250213838,0.8965000000000001,6.0,20.0,0.0,0.05
0.5,45,0.39574999999999994,0.8870000000000001,0.27310004688294165,0.8869999999999999,5.0,20.0,0.3125,0.8
0.5,46,0.41275000000000006,0.8965,0.38804337370146186,0.8965000000000001,8.0,20.0,0.4,1.0
0.7,42,0.0052499999999999995,0.7547499999999999,0.92,0.7854067767457861,0.0,17.0,0.0,0.058823529411764705
0.7,43,0.008,0.82175,0.865,0.8307894736842105,0.0,19.0,0.0,0.05263157894736842
0.7,44,0.004,0.8055,0.935,0.811953216374269,0.0,18.0,0.0,0.05555555555555555
0.7,45,0.008749999999999999,0.8249999999999998,0.865,0.8486052631578948,0.0,19.0,0.0,0.75
0.7,46,0.003,0.7935000000000001,0.955,0.8021169590643273,0.0,18.0,0.0,0.9
